ID, ideology, leadership, name, party, description, introduced_bills_115, cosponsored_bills_115, unique_cosponsors_115, total_cosponsors_115
412402, 0.807185685233, 0.530028739636, Womack, Republican, rank-and-file Republican, 5, 92, 41, 49
412526, 0.813331667215, 0.788094173937, DeSantis, Republican, moderate Republican leader, 13, 136, 306, 551
412548, 0.846639226383, 0.67440167462, Wagner, Republican, rank-and-file Republican, 14, 232, 264, 386
412476, 0.817286817658, 0.431022388398, Fleischmann, Republican, rank-and-file Republican, 4, 134, 8, 8
412473, 0.730088849599, 0.326870581836, Gowdy, Republican, rank-and-file Republican, 0, 67, 0, 0
412226, 0.803844316879, 0.506652952242, Jordan, Republican, rank-and-file Republican, 2, 104, 76, 83
412191, 0.887891451465, 0.75088174077, Lamborn, Republican, conservative Republican leader, 17, 214, 198, 316
412503, 0.732152147745, 0.678269561042, Massie, Republican, rank-and-file Republican, 7, 113, 160, 268
412475, 0.822284924946, 0.76838294681, Noem, Republican, moderate Republican leader, 27, 156, 271, 442
412431, 0.811183459819, 0.592550750164, Pompeo, Republican, rank-and-file Republican, 0, 0, 0, 0
400343, 0.699775177085, 0.473692175826, Rohrabacher, Republican, rank-and-file Republican, 8, 116, 62, 66
412417, 0.903227934159, 0.511376691587, Scott [GA8], Republican, conservative Republican, 5, 147, 75, 96
412405, 0.829801074987, 0.607218690156, Tipton, Republican, rank-and-file Republican, 21, 247, 157, 241
412578, 0.853806757756, 0.568788030431, Williams, Republican, rank-and-file Republican, 12, 154, 125, 175
412416, 0.690620596946, 0.450762072503, Woodall, Republican, rank-and-file Republican, 15, 59, 48, 49
400653, 0.253273902419, 0.571030922581, Green [TX9], Democrat, rank-and-file Democrat, 33, 255, 135, 490
412568, 0.83682702679, 0.539872102845, Mullin, Republican, rank-and-file Republican, 17, 157, 147, 193
412488, 0.76605541318, 0.607082940363, Duffy, Republican, rank-and-file Republican, 28, 133, 76, 109
412438, 0.588200450698, 0.386758387522, Amash, Republican, centrist Republican, 9, 46, 48, 85
400416, 0.22707595261, 0.64187903491, Velázquez, Democrat, progressive Democratic leader, 45, 436, 313, 753
400417, 0.424421133177, 0.0574292903589, Visclosky, Democrat, centrist Democratic follower, 1, 141, 9, 9
412561, 0.246834475174, 0.475205617893, Jeffries, Democrat, rank-and-file Democrat, 11, 306, 205, 245
412595, 0.266089474503, 0.545353743251, Kelly [IL2], Democrat, rank-and-file Democrat, 14, 321, 150, 359
412546, 0.328987377381, 0.566783198962, Kildee, Democrat, rank-and-file Democrat, 17, 231, 60, 75
400238, 0.26564381787, 0.481279645191, Levin, Democrat, rank-and-file Democrat, 11, 182, 77, 115
400326, 0.324326808604, 0.33494777881, Price [NC4], Democrat, rank-and-file Democrat, 13, 216, 140, 165
400422, 0.234431679743, 0.62412389863, Waters, Democrat, progressive Democratic leader, 35, 203, 197, 722
400246, 0.300701189324, 0.614750349532, Lowey, Democrat, moderate Democratic leader, 15, 212, 192, 320
412319, 0.228412679266, 0.479710119384, Tonko, Democrat, progressive Democrat, 10, 364, 179, 241
400075, 0.348157221644, 0.353364553013, Clyburn, Democrat, rank-and-file Democrat, 4, 87, 120, 186
400220, 0.896957290889, 0.807140162565, King [IA4], Republican, conservative Republican leader, 37, 226, 202, 617
412214, 0.447937233021, 0.750887740526, Walz, Democrat, centrist Democratic leader, 8, 312, 390, 473
400081, 0.47807749143, 0.349595907527, Cooper, Democrat, centrist Democrat, 7, 160, 42, 67
412394, 0.762948405404, 0.582744803791, Roby, Republican, rank-and-file Republican, 4, 91, 22, 22
412418, 0.332307617358, 0.311650726149, Hanabusa, Democrat, rank-and-file Democrat, 10, 354, 121, 178
400142, 0.63022653818, 0.161880823584, Frelinghuysen, Republican, centrist Republican follower , 17, 89, 17, 17
400189, 0.379464534579, 0.353454777072, Hoyer, Democrat, rank-and-file Democrat, 7, 75, 68, 98
400314, 0.390429720281, 0.0435230292432, Pelosi, Democrat, moderate Democratic follower, 1, 42, 0, 0
